Number,Name,InData,Thiaminase,Order
587,Percopsidae_Percopsis_transmontana_E00189,0,NA,NA
1197,Peristediidae_Peristedion_ecuadorense_E00456,0,NA,NA
758,Phallostethidae_Phenacostethus_smithi_E00398,0,NA,NA
1247,Pholidae_Pholis_ornata_N01732,0,NA,NA
689,Pholidichthyidae_Pholidichthys_leucotaenia_E00251,0,NA,NA
486,Phosichthyidae_Pollichthys_mauli_G01443,0,NA,NA
324,Pimelodidae_Phractocephalus_hemioliopterus_P1_G12_RG42,0,NA,NA
1699,Pinguipedidae_Parapercis_punctulata_E01091,0,NA,NA
7,Pipidae_Xenopus_tropicalis_G01511,0,NA,NA
1315,Platycephalidae_Rogadius_asper_N25418,0,NA,NA
67,Platytroctidae_Sagamichthys_abei_E00366,0,NA,NA
829,Plesiopidae_Plesiops_melas_G01442,0,NA,NA
294,Plotosidae_Plotosus_canius_P02_F06_RG60,0,NA,NA
995,Poecilopsettidae_Poecilopsetta_beanii_E00448,0,NA,NA
686,Polycentridae_Polycentropsis_abbreviata_N26006,0,NA,NA
640,Polymixiidae_Polymixia_japonica_E00019,0,NA,NA
909,Polynemidae_Leptomelanosoma_indicum_E00842,0,NA,NA
1140,Polyprionidae_Stereolepis_gigas_E00227,0,NA,NA
1585,Pomacanthidae_Chaetodontoplus_melanosoma_G01244,0,NA,NA
1906,Pomatomidae_Pomatomus_saltatrix_E00516,0,NA,NA
1363,Priacanthidae_Heteropriacanthus_cruentatus_E00570,0,NA,NA
57,Pristigasteridae_Pellona_flavipinnis_G01425,0,NA,NA
1059,Pristolepididae_Pristolepis_sp_N36627,0,NA,NA
430,Prochilodontidae_Ichthyoelephas_longirostris_P3_B06_RG02,0,NA,NA
932,Psettodidae_Psettodes_erumei_E01165,0,NA,NA
1323,Pseudaphritidae_Pseudaphritis_urvillii_G01453,0,NA,NA
898,Pseudochromidae_Pseudoplesiops_revellei_E00745,0,NA,NA
759,Pseudomugilidae_Pseudomugil_signifer_E00184,0,NA,NA
321,Pseudopimelodidae_Microglanis_poecilus_P02_D01_RG52,0,NA,NA
517,Pseudotrichonotidae_Pseudotrichonotus_altivelis_G01456,0,NA,NA
1283,Psychrolutidae_Radulinus_asprellus_E00429,0,NA,NA
1045,Rachycentridae_Rachycentron_canadum_E00468,0,NA,NA
581,Regalecidae_Regalecus_russelii_G01464,0,NA,NA
470,Retropinnidae_Retropinna_semoni_G01465,0,NA,NA
256,Rhamphichthyidae_Hypopygus_lepturus_P02_C04_RG19,0,NA,NA
937,Rhombosoleidae_Neoachiropsetta_milfordi_E01170,0,NA,NA
658,Rondeletiidae_Rondeletia_bicolor_E01059,0,NA,NA
32,Saccopharyngidae_Saccopharynx_ampullaceus_E01001,0,NA,NA
477,Salangidae_Neosalanx_jordani_G01396,0,NA,NA
991,Samaridae_Plagiopsetta_glossa_E00074,0,NA,NA
1366,Scatophagidae_Scatophagus_argus_E00051,0,NA,NA
1939,Scombrolabracidae_Scombrolabrax_heterolepis_E00976,0,NA,NA
529,Scopelarchidae_Benthalbella_macropinna_E00033,0,NA,NA
1302,Scorpaenichthyidae_Scorpaenichthys_marmoratus_E00232,0,NA,NA
1200,Scorpaenidae_Scorpaenodes_albaiensis_E00532,0,NA,NA
35,Serrivomeridae_Serrivomer_beanii_G01487,0,NA,NA
1215,Setarchidae_Setarches_guentheri_E01035,0,NA,NA
1452,Siganidae_Siganus_spinus_N29369,0,NA,NA
1622,Sillaginidae_Sillago_chondropus_N29390,0,NA,NA
1849,Solenostomidae_Solenostomus_paradoxus,0,NA,NA
918,Sphyraenidae_Sphyraena_japonica_N30022,0,NA,NA
602,Steindachneriidae_Steindachneria_argentea_E01013,0,NA,NA
661,Stephanoberycidae_Acanthochaenus_luetkenii_M30097,0,NA,NA
488,Sternoptychidae_Polyipnus_spinifer_M30154,0,NA,NA
250,Sternopygidae_Sternopygus_macrurus_P1_B11_RG05,0,NA,NA
1236,Stichaeidae_Cebidichthys_violaceus_N30217,0,NA,NA
493,Stomiidae_Chauliodus_sloani_E00678,0,NA,NA
597,Stylephoridae_Stylephorus_chordatus_E00997,0,NA,NA
537,Sudidae_Sudis_atrox_E00093,0,NA,NA
186,Sundadanidae_Sundadanio_axelrodi_I2621-118,0,NA,NA
1131,Symphysanodontidae_Symphysanodon_typus_M01725,0,NA,NA
1230,Synanceiidae_Synanceia_verrucosa_E00867,0,NA,NA
213,Tanichthyidae_Tanichthys_micagemmae_I2715-101,0,NA,NA
761,Telmatherinidae_Marosatherina_ladigesi_E00406,0,NA,NA
1118,Terapontidae_Terapon_jarbua_E00826,0,NA,NA
1231,Tetrarogidae_Coccotropsis_gymnoderma_E00801,0,NA,NA
646,Trachichthyidae_Hoplostethus_occidentalis_atlanticus_E01018,0,NA,NA
583,Trachipteridae_Desmodema_polystictum_E00974,0,NA,NA
1399,Triacanthidae_Triacanthus_biaculeatus_G01531,0,NA,NA
1400,Triacanthodidae_Triacanthodes_anomalus_E00382,0,NA,NA
1272,Trichodontidae_Trichodon_trichodon_N31563,0,NA,NA
261,Trichomycteridae_Ituglanis_amazonicus_P02_C01_RG65,0,NA,NA
1398,Triodontidae_Triodon_macropterus_N31959,0,NA,NA
363,Triportheidae_Triportheus_rotundatus_P1_E05_RG94,0,NA,NA
836,Tripterygiidae_Enneapterygius_gruschkai_E00916,0,NA,NA
1692,Uranoscopidae_Astroscopus_ygraecum_E01028,0,NA,NA
92,Vaillantellidae_Vaillantella_maassi_I2716-104,0,NA,NA
1599,Zanclidae_Zanclus_cornutus_E00894,0,NA,NA
1268,Zaniolepididae_Zaniolepis_frenata_E00353,0,NA,NA
1238,Zaproridae_Zaprora_silenus_E00362,0,NA,NA
595,Zeidae_Zenopsis_conchifer_E00449,0,NA,NA
721,Zenarchopteridae_Zenarchopterus_dispar_E00541,0,NA,NA
593,Zeniontidae_Cyttomimus_affinis_M32320,0,NA,NA
