Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Crucian Carp,Carassius carassius,"Wistbacka et al. 2009, Chaet and Bishop 1952, Fujita 1954, Suomalainen and Pihlgren 1955",Cyprinidae,Cypriniformes ,Actinopteri,0,Temperate,Asia,1,NA,1,0,BE,1,0,0,1,TL,3.1,64,10,1.45,PE,0,0,1,0,TL,3.1,24.8,7,0.989
Great White Shark,Carcharodon carcharias ,BLAST,Lamnidae,Lamniformes,Elasmobranchii,0,Subtropical,Worldwide,0,1,0,1,PE,0,0,1,0,TL,4.5,640,36,NA,BE,1,0,0,0,TL,3.9,120,20,0.371
White Sucker,Catostomus commersonii,"Greig and Gnaedinger 1971, Boggs et al. 2019, Kraft et al. 2014, Nielands 1947",Catostomidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BP,0,1,0,0,IN,2.8,65,12,1.28,BE,1,0,0,0,TL,4,55,5,0.607
Black Seabass,Centropristis striata,Greig and Gnaedinger 1971,Serranidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.9,66,20,0.354,BE,1,0,0,0,TL,3.6,64,14,0.359
Snakehead,Channa argus,BLAST,Channidae,Anabantiformes,Actinopteri,0,Subtropical,Asia,0,1,0,0,BP,0,1,0,1,IN,4.4,100,NA,NA,BP,0,1,0,0,TL,3.9,30,NA,0.781
Milkfish,Chanos chanos,BLAST,Chanidae,Gonorynchiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,1,1,BP,0,1,0,0,TL,2.4,180,15,0.248,BE,1,0,0,0,TL,3.7,38,6,0.35
Humphead Wrasse,Cheilinus undulatus,BLAST,Labridae,Eupercaria,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4,229,32,0.0774,BP,0,1,0,0,TL,4.4,234,15,0.447
Copperband Butterflyfish,Chelmon rostratus,BLAST,Chaetodontidae,Acanthuriformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.5,20,10,0.318,BP,0,1,0,0,TL,4.4,160,75,1.48
Whitespotted Bambooshark,Chiloscyllium plagiosum,BLAST,Hemiscylliidae,Orectolobiformes,Elasmobranchii,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4,83,25,0.106,BE,1,0,0,0,TL,4.2,110,18,0.8
Magur,Clarias magur,BLAST,Clariidae,Siluriformes,Actinopteri,1,Tropical,Asia,0,1,1,0,BE,1,0,0,1,TL,3.4,35,NA,NA,BE,1,0,0,0,TL,4.5,200,24,0.22
