Common,Scientific,Source,Family,Order,Class,Tropical,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Marine,Habitat,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3,Habitat2,Benthic,Benthopelagic,Pelagic,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Logperch,Percina caprodes,Boggs et al. 2019,Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,3.4,18,3,NA,BP,0,1,0,1,TL,4.4,150,9,1.5
Longhead Darter,Percina macrocephala,Boggs et al. 2019,Percidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,0,BP,0,1,0,0,IN,3.4,12,4,NA,BP,0,1,0,0,IN,3.4,4.5,NA,NA
Mudskipper,Periophthalmus magnuspinnatus,BLAST,Oxudercidae,Gobiiformes,Actinopteri,0,Temperate,Asia,0,1,0,0,BE,1,0,0,0,IN,3.2,10.3,NA,NA,BP,0,1,0,0,TL,3.3,4,NA,NA
Lamprey,Petromyzon marinus,"BLAST, Greig and Gnaedinger 1971",Petromyzontidae,Petromyzontiformes,Petromyzonti,0,Temperate,Worldwide,1,1,0,1,BE,1,0,0,1,TL,4.4,120,11,0.957,PE,0,0,1,0,IN,3.2,3.9,NA,NA
Fathead Minnow,Pimephales promelas,"BLAST, Greig and Gnaedinger 1971, Chaet and Bishop 1952",Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,1,1,0,BE,1,0,0,0,IN,2.4,10.1,5,NA,BP,0,1,0,0,IN,3.2,5,NA,NA
Bluntnose Minnow,Pimephales notatus,Boggs et al. 2019,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,2.7,11,5,NA,BP,0,1,0,0,IN,3.3,10,NA,NA
Ayu Sweetfish,Plecoglossus altivelis,Fujita 1954,Plecoglossidae,Osmeriformes,Actinopteri,0,Subtropical,Asia,1,NA,0,1,BE,1,0,0,0,TL,2.8,70,3,0.657,BP,0,1,0,0,IN,3.2,3.9,NA,NA
Leopard Coralgrouper,Plectropomus leopardus,BLAST,Serranidae,Perciformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,4.4,120,26,0.143,BP,0,1,0,0,IN,3.2,6,NA,NA
Amazon Molly,Poecilia formosa,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,0,Subtropical,North America,0,1,1,0,BP,0,1,0,0,TL,2.5,9.6,NA,NA,BE,1,0,0,0,TL,3.4,23.9,7,0.714
Sailfin Molly,Poecilia latipinna,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,0,Subtropical,North America,0,1,1,1,BP,0,1,0,1,TL,2,15,NA,NA,BE,1,0,0,0,TL,2.8,62,NA,0.289
Shortfin Molly,Poecilia mexicana,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,1,Tropical,Central America,0,1,1,0,BP,0,1,0,1,TL,2,11,NA,NA,BE,1,0,0,0,TL,4.5,103,NA,0.284
Guppy,Poecilia reticulata,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,1,Tropical,South America,0,1,0,0,BP,0,1,0,1,TL,3.2,6,NA,NA,BE,1,0,0,1,TL,4.4,60,22,0.56
Blackstripe Livebearer,Poeciliopsis prolifica,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,0,Subtropical,Central America,0,1,0,0,BP,0,1,0,0,TL,NA,3,NA,NA,BE,1,0,0,0,IN,3.2,10.3,NA,NA
Saithe,Pollachius virens,"Greig and Gnaedinger 1971, Nielands 1947",Gadidae,Gadiformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4.3,130,25,0.584,BE,1,0,0,0,TL,4.4,120,26,0.143
Mississippi Paddlefish,Polyodon spathula,BLAST,Polyodontidae,Acipenseriformes,Actinopteri,0,Subtropical,North America,0,1,1,0,BE,1,0,0,1,IN,3.4,221,55,0.285,BP,0,1,0,1,TL,3.2,6,NA,NA
Gray Bichir,Polypterus senegalus,BLAST,Polypteridae,Polypteriformes,Actinopteri,1,Tropical,Africa,0,1,1,0,BE,1,0,0,0,IN,3.5,70,NA,0.227,BP,0,1,0,0,TL,NA,3,NA,NA
Black Crappie,Pomoxis nigromaculatus,"Greig and Gnaedinger 1971, Chaet and Bishop 1952",Centrarchidae,Centrarchiformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,0,IN,3.8,49,15,0.397,BE,1,0,0,1,IN,3.4,221,55,0.285
Atlantic Butterfish,Peprilus triacanthus,Greig and Gnaedinger 1971,Stromateidae,Scombriformes ,Actinopteri,0,Subtropical,North America,1,NA,1,1,BP,0,1,0,0,TL,3.9,30,NA,0.781,BE,1,0,0,0,IN,3.5,70,NA,0.227
Bighead Searobin,Prionotus tribulus,Greig and Gnaedinger 1971,Triglidae,Perciformes,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,3.7,35,NA,0.387,BE,1,0,0,0,IN,3.8,100,NA,NA
Round Whitefish,Prosopium cylindraceum,Riley and Evans 2008,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,1,NA,1,0,BE,1,0,0,0,TL,3.3,59,16,NA,BE,1,0,0,0,TL,3.4,60,NA,0.335
West African Lungfish,Protopterus annectens,BLAST,Protopteridae,Ceratodontiformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BE,1,0,0,0,IN,3.8,100,NA,NA,BP,0,1,0,0,IN,2.6,7.7,NA,NA
South Georgia Icefish,Pseudochaenichthys georgianus,BLAST,Channichthyidae,Perciformes,Actinopteri,0,Polar,Antarctica,0,1,0,1,BE,1,0,0,0,TL,3.4,60,NA,0.335,PE,0,0,1,0,TL,3.6,1700,80,NA
Winter Flounder,Pseudopleuronectes americanus,"Greig and Gnaedinger 1971, Nielands 1947",Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.6,64,14,0.359,BE,1,0,0,0,TL,2,14,NA,0.186
Winter Flounder,Pseudopleuronectes americanus dignabilis,Greig and Gnaedinger 1971,Pleuronectidae,Pleuronectiformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.6,64,14,0.359,BP,0,1,0,0,TL,4.4,107,40,1.82
Ninespine Stickleback,Pungitius pungitius,"BLAST, Tillitt et al. 2005",Gasterosteidae,Perciformes,Actinopteri,0,Boreal,Worldwide,1,1,0,0,BP,0,1,0,0,TL,3.3,9,5,NA,PE,0,0,1,1,TL,4,100,17,1.15
Sumatra Barb,Puntigrus tetrazona,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,1,Tropical,Asia,0,1,1,0,BP,0,1,0,0,IN,2.9,7,NA,NA,BE,1,0,0,0,TL,4.4,100,25,0.592
Red Pirahna,Pygocentrus nattereri,BLAST,Serrasalmidae,Characiformes,Actinopteri,0,Subtropical,South America,0,1,1,0,PE,0,0,1,0,IN,3.7,50,NA,0.572,BE,1,0,0,0,TL,3.8,100,12,0.202
Whale Shark,Rhincodon typus,BLAST,Rhincodontidae,Orectolobiformes,Elasmobranchii,0,Subtropical,Worldwide,0,1,0,1,PE,0,0,1,0,TL,3.6,1700,80,NA,BE,1,0,0,0,TL,3.6,29.8,NA,NA
Longnose Dace,Rhinichthys cataractae,"Boggs et al. 2019, Kraft et al. 2014",Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,North America,1,NA,1,0,BE,1,0,0,0,IN,3.2,22.5,5,NA,BE,1,0,0,0,TL,4.5,190,15,0.224
Blacknose Dace,Rhinichthys atratulus,"Kraft et al. 2014, Chaet and Bishop 1952",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.1,12.4,3,NA,BP,0,1,0,0,TL,4.2,250,12,0.679
NA,Rhinogobius similis,Fujita 1954,Gobiidae,Gobiiformes,Actinopteri,0,Temperate,Asia,1,NA,1,0,BP,0,1,0,1,IN,3.3,10,NA,NA,BP,0,1,0,0,IN,2,19.5,NA,NA
Roach,Rutilus rutilus,"Chaet and Bishop 1952, Arsan 1970",Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,Europe,1,NA,1,0,BP,0,1,0,1,TL,3,50.2,14,0.8,BP,0,1,0,0,IN,4.5,70,9,NA
Jewelled Blenny,Salarias fasciatus,BLAST,Blenniidae,Blenniiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,2,14,NA,0.186,BP,0,1,0,0,IN,2.9,23,NA,NA
Atlantic Salmon,Salmo salar,"BLAST, Greig and Gnaedinger 1971, Nielands 1947",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,1,1,0,1,BP,0,1,0,0,TL,4.5,150,13,1.81,BE,1,0,0,0,TL,3.3,60,NA,0.158
Brown Trout,Salmo trutta,"BLAST, Greig and Gnaedinger 1971",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,1,1,0,1,PE,0,0,1,1,TL,3.4,140,38,1.09,BE,1,0,0,0,TL,3.7,70,11,1.29
Arctic Char,Salvelinus alpinus,BLAST,Salmonidae,Salmoniformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,BP,0,1,0,0,TL,4.4,107,40,1.82,BE,1,0,0,0,TL,3.6,10,NA,0.163
Lake Trout,Salvelinus namaycush,"BLAST, Greig and Gnaedinger 1971",Salmonidae,Salmoniformes,Actinopteri,0,Temperate,North America,1,1,0,0,BP,0,1,0,0,TL,4.3,150,50,1.07,BE,1,0,0,0,TL,2,10,NA,0.141
Sauger,Sander canadensis,Greig and Gnaedinger 1971,Percidae,Perciformes,Actinopteri,0,Subtropical,North America,1,NA,1,0,BP,0,1,0,0,IN,4.1,76,18,NA,BE,1,0,0,0,TL,3.3,50,NA,NA
Pike-Perch,Sander lucioperca,BLAST,Percidae,Perciformes,Actinopteri,0,Temperate,Eurasia,0,1,0,0,PE,0,0,1,1,TL,4,100,17,1.15,BE,1,0,0,0,TL,3.4,30,NA,NA
Walleye,Sander vitreus,"Greig and Gnaedinger 1971, Boggs et al. 2019",Percidae,Perciformes,Actinopteri,0,Subtropical,North America,1,NA,0,0,BP,0,1,0,0,TL,4.5,107,29,0.429,BE,1,0,0,0,TL,3.4,35,NA,NA
Fringescale Sardinella,Sardinella fimbriata,Deolalkar and Sohonie 1954,Clupeidae,Clupeiformes,Actinopteri,1,Tropical,Indo-Pacific,1,NA,1,1,PE,0,0,1,0,TL,2.7,19,NA,0.765,BE,1,0,0,0,TL,3.6,80,NA,1.09
Rudd,Scardinius erythrophthalmus,"Chaet and Bishop 1952, Arsan 1970",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BP,0,1,0,1,TL,2.9,61.7,19,1.25,BE,1,0,0,0,IN,3.4,17,NA,NA
Asian Bonytongue,Scleropages formosus,BLAST,Osteoglossidae,Osteoglossiformes,Actinopteri,1,Tropical,Asia,0,1,1,0,BP,0,1,0,0,IN,3.9,90,NA,NA,BE,1,0,0,0,IN,3.4,9.3,NA,NA
Club Mackerel,Scomber japonicus,Greig and Gnaedinger 1971,Scombridae,Scombriformes ,Actinopteri,0,Subtropical,Indo-Pacific,1,NA,1,1,PE,0,0,1,0,TL,3.4,64,18,0.397,PE,0,0,1,0,TL,4.4,239,9,0.573
Atlantic Mackerel,Scomber scombrus,"Greig and Gnaedinger 1971, Nielands 1947",Scombridae,Scombriformes ,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,PE,0,0,1,0,TL,3.6,60,17,1.34,PE,0,0,1,0,TL,3.9,245,20,0.639
Turbot,Scophthalmus maximus,BLAST,Scophthalmidae,Pleuronectiformes,Actinopteri,0,Temperate,Europe,0,1,0,1,BE,1,0,0,0,TL,4.4,100,25,0.592,BE,1,0,0,0,TL,2.6,30,NA,NA
Lesser Spotted Dogfish,Scyliorhinus canicula,BLAST,Scyliorhinidae,Carcharhiniformes,Elasmobranchii,0,Subtropical,Europe,0,1,0,1,BE,1,0,0,0,TL,3.8,100,12,0.202,BE,1,0,0,0,TL,3.4,28,10,0.359
Golden Redfish,Serranus scriba,Greig and Gnaedinger 1971,Sebastidae,Perciformes,Actinopteri,0,Temperate,Worldwide,1,NA,0,1,PE,0,0,1,0,TL,4,100,60,1.29,PE,0,0,1,0,TL,4.5,455,NA,0.322
Honeycomb Rockfish,Sebastes umbrosus,BLAST,Sebastidae,Perciformes,Actinopteri,0,Subtropical,North America,0,1,0,1,BE,1,0,0,0,TL,3.6,29.8,NA,NA,BP,0,1,0,0,IN,3.1,6,NA,NA
Creek Chub,Semotilus atromaculatus,"Kraft et al. 2014, Chaet and Bishop 1952",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,4,30.3,8,NA,BE,1,0,0,0,IN,2.7,11,5,NA
Fallfish,Semotilus corporalis,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.4,51,6,NA,BE,1,0,0,0,TL,2.7,32,9,NA
Fallfish,Semotilus corporalis,"Boggs et al. 2019, Kraft et al. 2014",Leuciscidae,Cypriniformes ,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.4,51,6,NA,BP,0,1,0,0,IN,2.8,7.2,3,NA
Greater Amberjack,Seriola dumerili,BLAST,Carangidae,Carangiformes,Actinopteri,0,Subtropical,Worldwide,0,1,0,1,BE,1,0,0,0,TL,4.5,190,15,0.224,BE,1,0,0,0,IN,3,16,2,NA
Yellowtail Amberjack,Seriola lalandi,BLAST,Carangidae,Carangiformes,Actinopteri,0,Subtropical,Worldwide,0,1,0,1,BP,0,1,0,0,TL,4.2,250,12,0.679,BE,1,0,0,0,IN,2.9,14,NA,NA
Chinese Large-Mouth Catfish,Silurus meridionalis,BLAST,Siluridae,Siluriformes,Actinopteri,0,Subtropical,Asia,0,1,1,0,BE,1,0,0,0,IN,4.2,114,NA,NA,BP,0,1,0,0,IN,3.1,11,3,NA
Amur Catfish,Silurus asotus,Fujita 1954,Siluridae,Siluriformes,Actinopteri,0,Temperate,Asia,1,NA,1,0,BE,1,0,0,0,IN,4.4,130,NA,NA,BE,1,0,0,0,IN,3.2,22.5,5,NA
NA,Simochromis diagramma,BLAST,Cichlidae,Cichliformes,Actinopteri,1,Tropical,Africa,0,1,0,0,BP,0,1,0,0,IN,2,19.5,NA,NA,BE,1,0,0,0,IN,3.2,33,5,NA
Mandarin Fish,Siniperca chuatsi,BLAST,Sinipercidae,Centrarchiformes,Actinopteri,0,Temperate,Asia,0,1,0,0,BP,0,1,0,0,IN,4.5,70,9,NA,BE,1,0,0,0,TL,3.1,75,9,NA
NA,Sinocyclocheilus anshuiensis,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,0,Subtropical,Asia,0,1,1,0,BP,0,1,0,0,IN,2.9,10,NA,NA,BP,0,1,0,0,IN,3.4,18,3,NA
Golden-Line Barbel,Sinocyclocheilus grahami,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,0,Temperate,Asia,0,1,1,0,BP,0,1,0,0,IN,2.9,23,NA,NA,BE,1,0,0,0,IN,3.4,51,6,NA
NA,Sinocyclocheilus rhinocerous,BLAST,Cyprinidae,Cypriniformes ,Actinopteri,0,Subtropical,Asia,0,1,1,0,BP,0,1,0,0,IN,2.9,9.7,NA,NA,BP,0,1,0,0,IN,2.9,11,4,NA
Sengalese Sole,Solea senegalensis,BLAST,Soleidae,Pleuronectiformes,Actinopteri,1,Tropical,Africa,0,1,0,1,BE,1,0,0,0,TL,3.3,60,NA,0.158,BP,0,1,0,0,IN,3.3,7.8,4,NA
Gilthead Seabream,Sparus aurata,BLAST,Sparidae,Eupercaria,Actinopteri,0,Subtropical,Europe,0,1,0,1,BE,1,0,0,0,TL,3.7,70,11,1.29,BP,0,1,0,0,IN,3.4,17,5,NA
Orbiculate Cardinalfish,Sphaeramia orbicularis,BLAST,Apogonidae,Kurtiformes,Actinopteri,1,Tropical,Indo-Pacific,0,1,0,1,BE,1,0,0,0,TL,3.6,10,NA,0.163,BP,0,1,0,0,IN,3.4,12,4,NA
European Sprat,Sprattus sprattus,Wistbacka and Bylund 2008,Clupeidae,Clupeiformes,Actinopteri,0,Temperate,Europe,1,NA,1,1,PE,0,0,1,0,TL,3,16,6,1.16,BE,1,0,0,0,IN,4.4,30,1,NA
Picked Dogfish,Squalus acanthias,"Greig and Gnaedinger 1971, Nielands 1947",Squalidae,Squaliformes,Elasmobranchii,0,Temperate,Worldwide,1,NA,0,1,BP,0,1,0,0,TL,4.4,160,75,1.48,BE,1,0,0,0,IN,3.3,15,NA,NA
Bicolor Damselfish,Stegastes partitus,BLAST,Pomacentridae,Ovalentaria,Actinopteri,1,Tropical,Worldwide,0,1,0,1,BE,1,0,0,0,TL,2,10,NA,0.141,BE,1,0,0,0,IN,3.8,109,30,NA
Scup,Stenotomus chrysops,Greig and Gnaedinger 1971,Sparidae,Eupercaria,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,3.8,46,NA,0.37,BP,0,1,0,0,IN,2.8,12,5,NA
Greater Pipefish,Syngnathus acus,BLAST,Syngnathidae ,Syngnathiformes,Actinopteri,0,Subtropical,Worldwide,0,1,0,1,BE,1,0,0,0,TL,3.3,50,NA,NA,BE,1,0,0,0,IN,4,30.3,8,NA
Inshore Lizardfish,Synodus foetens,Greig and Gnaedinger 1971,Synodontidae,Aulopiformes ,Actinopteri,1,Tropical,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4.5,53.8,NA,0.17,BP,0,1,0,0,IN,3.2,8.4,4,NA
Olive Barb,Systomus sarana,Deolalkar and Sohonie 1954,Cyprinidae,Cypriniformes ,Actinopteri,1,Tropical,Asia,1,NA,1,0,BP,0,1,0,0,TL,2.9,42,NA,0.553,PE,0,0,1,0,TL,4.1,60,NA,2.9
Yellow Catfish,Tachysurus fulvidraco,BLAST,Bagridae,Siluriformes,Actinopteri,0,Subtropical,Asia,0,1,1,0,BE,1,0,0,0,IN,3.5,34.5,NA,NA,BE,1,0,0,0,TL,3.6,150,NA,0.352
NA,Takifugu bimaculatus,BLAST,Tetraodontidae,Tetraodontiformes,Actinopteri,0,Subtropical,Asia,0,1,0,1,BE,1,0,0,0,TL,3.4,30,NA,NA,PE,0,0,1,0,TL,3.5,45,10,1.7
Yellowbelly Pufferfish,Takifugu flavidus,BLAST,Tetraodontidae,Tetraodontiformes,Actinopteri,0,Temperate,Asia,0,1,0,1,BE,1,0,0,0,TL,3.4,35,NA,NA,BP,0,1,0,1,TL,2.9,40,16,NA
Japenese Pufferfish,Takifugu rubripes,BLAST,Tetraodontidae,Tetraodontiformes,Actinopteri,0,Temperate,Asia,0,1,0,1,BE,1,0,0,0,TL,3.6,80,NA,1.09,BE,1,0,0,0,IN,4.4,130,NA,NA
Tautog,Tautoga onitis,Greig and Gnaedinger 1971,Labridae,Eupercaria,Actinopteri,0,Subtropical,North America,1,NA,0,1,BE,1,0,0,0,TL,3.3,91,34,0.342,BE,1,0,0,1,TL,3.2,28,NA,NA
Cunner,Tautogolabrus adspersus,Greig and Gnaedinger 1971,Labridae,Eupercaria,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,3.7,38,6,0.35,BE,1,0,0,0,TL,3.7,19,NA,NA
Spotted Green Pufferfish,Dichotomyctere nigroviridis,BLAST,Tetraodontidae,Tetraodontiformes,Actinopteri,1,Tropical,Asia,0,1,0,0,BE,1,0,0,0,IN,3.4,17,NA,NA,PE,0,0,1,0,TL,4.4,65,5,0.358
NA,Thalassophryne amazonica,BLAST,Batrachoididae,Batrachoidiformes,Actinopteri,1,Tropical,South America,0,1,0,0,BE,1,0,0,0,IN,3.4,9.3,NA,NA,BE,1,0,0,0,TL,3.6,150,NA,0.757
Eulachon,Thaleichthys pacificus,Csepp et al. 2017,Osmeridae,Osmeriformes,Actinopteri,0,Temperate,North America,1,NA,1,1,PE,0,0,1,0,TL,3.3,34,5,2.49,BE,1,0,0,0,TL,3.4,30,NA,NA
Yellowfin Tuna,Thunnus albacares,BLAST,Scombridae,Scombriformes ,Actinopteri,1,Tropical,Worldwide,0,1,0,1,PE,0,0,1,0,TL,4.4,239,9,0.573,BE,1,0,0,0,IN,3.2,30,NA,NA
Southern Bluefin Tuna,Thunnus maccoyii,BLAST,Scombridae,Scombriformes ,Actinopteri,0,Temperate,Worldwide,0,1,0,1,PE,0,0,1,0,TL,3.9,245,20,0.639,BP,0,1,0,0,IN,3.2,17.5,NA,NA
Tench,Tinca tinca,"Chaet and Bishop 1952, Suomalainen and Pihlgren 1955",Tincidae,Cypriniformes ,Actinopteri,0,Temperate,Eurasia,1,NA,1,0,BE,1,0,0,0,TL,3.7,70,NA,1.49,NA,0,0,0,NA,NA,NA,NA,NA,NA
Banded Archerfish,Toxotes jaculatrix,BLAST,Toxotidae,Carangaria,Actinopteri,1,Tropical,Worldwide,0,1,0,1,BE,1,0,0,0,TL,2.6,30,NA,NA,BP,0,1,0,1,IN,3.3,10,NA,NA
Emerald Rockcod,Trematomus bernacchii,BLAST,Nototheniidae,Perciformes,Actinopteri,0,Polar,Antarctica,0,1,0,1,BE,1,0,0,0,TL,3.4,28,10,0.359,PE,0,0,1,0,TL,3.2,20,10,
Largehead Hairtail,Trichiurus lepturus,Greig and Gnaedinger 1971,Trichiuridae,Scombriformes ,Actinopteri,0,Subtropical,Worldwide,1,NA,0,1,BP,0,1,0,0,TL,4.4,234,15,0.447,BE,1,0,0,0,TL,3.2,4,NA,NA
NA,Triplophysa tibetana,BLAST,Nemacheilidae,Cypriniformes ,Actinopteri,0,High-altitude,Asia,0,1,1,0,BP,0,1,0,0,IN,NA,13.3,NA,NA,BE,1,0,0,0,TL,3.3,5.8,NA,NA
Central Mudminnow,Umbra limi,Greig and Gnaedinger 1971,Umbridae,Esociformes,Actinopteri,0,Temperate,North America,1,NA,1,0,BE,1,0,0,0,IN,3.7,14,4,NA,BE,1,0,0,0,TL,4,100,8,0.523
Hake,Urophycis cirrata,"Greig and Gnaedinger 1971, Nielands 1947",Phycidae,Gadiformes,Actinopteri,0,Deep-water,Worldwide,1,NA,0,1,BE,1,0,0,0,TL,4,66,14,NA,BE,1,0,0,0,TL,2.8,70,3,0.657
Vimba Bream,Vimba vimba,Chaet and Bishop 1952,Leuciscidae,Cypriniformes ,Actinopteri,0,Subtropical,Eurasia,1,NA,1,0,BP,0,1,0,0,TL,3.3,50,15,NA,PE,0,0,1,0,TL,3.3,34,5,2.49
Swordfish,Xiphias gladius,BLAST,Xiphiidae,Carangiformes,Actinopteri,0,Temperate,Worldwide,0,1,0,1,PE,0,0,1,0,TL,4.5,455,NA,0.322,BP,0,1,0,0,TL,2.9,42,NA,0.553
Monterrey Platyfish,Xiphophorus couchianus,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,1,Tropical,North America,0,1,0,0,BP,0,1,0,0,IN,3.1,6,NA,NA,BP,0,1,0,0,IN,NA,29,NA,NA
Green Swordtail,Xiphophorus hellerii,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,1,Tropical,Worldwide,0,1,1,0,BP,0,1,0,1,TL,3.2,14,NA,NA,PE,0,0,1,0,TL,3,15,NA,NA
Southern Platyfish,Xiphophorus maculatus,BLAST,Poeciliidae,Cyprinodontiformes,Actinopteri,1,Tropical,Central America,0,1,1,0,BP,0,1,0,1,IN,3.2,4,NA,NA,PE,0,0,1,0,TL,3.3,20,NA,0.746
Ocean Pout,Zoarces americanus,"Greig and Gnaedinger 1971, Nielands 1947",Zoarcidae,Perciformes,Actinopteri,0,Temperate,North America,1,NA,0,1,BE,1,0,0,0,TL,4.2,110,18,0.8,PE,0,0,1,0,TL,2.7,19,NA,0.765
Silver Carp,Hypophthalmichthys molitrix,"Wolfe et al. 2023",Cypriniformes ,Actinopteri,1,0,0,0,1,0,0,0,1,Subtropical,Asia,1,NA,1,0,,,0,NS,BP,0,1,0,1,TL,2,120,20,0.306
