Common,Scientific,Source,Order,Class,Tropical,Trop_Subtrop,Climate,Continent,Lit_confirmed,BLAST,Thiaminase,Confirmed,Thiamine,Thiaminase_activity,Marine,Habitat1,Habitat2,Invasive,Salt,TL_fooditems,MaxTL,MaxAge,Omega3
Roach,Rutilus rutilus,"Chaet and Bishop 1952, Arsan 1970",Cypriniformes ,Actinopteri,0,1,Subtropical,Europe,1,NA,1,0,,,0,NS,BP,1,TL,3,50.2,14,0.8
Fallfish,Semotilus corporalis,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.4,51,6,NA
Bridle Shiner,Notropis bifrenatus,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BP,0,IN,2.8,6.5,NA,NA
Common Shiner,Luxilus cornutus,"Boggs et al. 2019, Kraft et al. 2014",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,2.8,18,6,NA
Mimic Shiner,Notropis volucellus,"Boggs et al. 2019, Chaet and Bishop 1952",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BP,0,IN,3,7.6,2,NA
Blacknose Dace,Rhinichthys atratulus,"Kraft et al. 2014, Chaet and Bishop 1952",Cypriniformes ,Actinopteri,0,0,Temperate,North America,1,NA,1,0,,,0,NS,BE,0,IN,3.1,12.4,3,NA
Tench,Tinca tinca,Chaet and Bishop 1952,Cypriniformes ,Actinopteri,0,0,Temperate,Eurasia,1,NA,1,0,,,0,NS,BE,0,TL,3.7,70,NA,1.49
Redbreast Sunfish,Lepomis auritus,"Boggs et al. 2019, Chaet and Bishop 1952",Centrarchiformes,Actinopteri,0,0,Temperate,North America,1,NA,0,0,,,0,NS,BE,1,IN,3.2,30.5,NA,NA
Spiny Chromis,Acanthochromis polyacanthus,BLAST,Ovalentaria,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,2.7,14,NA,0.135
Yellowfin Seabream,Acanthopagrus latus,BLAST,Eupercaria,Actinopteri,0,1,Subtropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.8,40,NA,0.747
Sterlet Sturgeon,Acipenser ruthenus,BLAST,Acipenseriformes,Actinopteri,0,0,Temperate,Eurasia,0,1,0,0,,,0,NS,BE,0,TL,3.6,125,20,0.808
Roundjaw Bonefish,Albula glossodonta,BLAST,Albuliformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.3,90,NA,0.0927
Starry Ray,Amblyraja radiata,BLAST,Rajiformes,Actinopteri,0,0,Boreal,Worldwide,0,1,0,0,,,1,OS,BE,0,TL,4.2,105,28,0.927
Clown Anemonefish,Amphiprion ocellaris,BLAST,Ovalentaria,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.1,11,NA,0.173
Climbing Perch,Anabas testudineus,BLAST,Anabantiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BE,0,TL,3,25,NA,0.388
Wolf-eel,Anarrhichthys ocellatus,BLAST,Perciformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,3.5,240,NA,0.32
European Eel,Anguilla anguilla,BLAST,Anguilliformes,Actinopteri,0,0,Temperate,Worldwide,0,1,0,0,,,0,NS,BE,1,TL,3.6,122,88,1.27
Flier Cichlid,Archocentrus centrarchus,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Central America,0,1,0,0,,,0,NS,BP,0,IN,2.6,11,NA,NA
Eastern Happy,Astatotilapia calliptera,BLAST,Cichliformes,Actinopteri,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BP,0,IN,3,15,NA,NA
NA,Austrofundulus limnaeus,BLAST,Cyprinodontiformes,Actinopteri,1,1,Tropical,South America,0,1,0,0,,,0,NS,BP,0,IN,3.3,8,NA,NA
Siamese Fighting Fish,Betta splendens,BLAST,Anabantiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,0,NS,BP,0,IN,3.3,6.5,2,NA
Great Blue Spotted Mudskipper,Boleophthalmus pectinirostris,BLAST,Gobiiformes,Actinopteri,1,1,Tropical,Asia,0,1,0,0,,,1,NS,BE,0,TL,2,20,4,NA
Ghost Shark,Callorhinchus milii,BLAST,Chimaeriformes,Holocephali,0,1,Subtropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.6,125,NA,0.489
Bluefin Trevally,Caranx melampygus,BLAST,Carangiformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4.5,117,NA,0.291
Great White Shark,Carcharodon carcharias ,BLAST,Lamniformes,Elasmobranchii,0,1,Subtropical,Worldwide,0,1,0,0,,,1,OS,PE,0,TL,4.5,640,36,NA
Snakehead,Channa argus,BLAST,Anabantiformes,Actinopteri,0,1,Subtropical,Asia,0,1,0,0,,,0,NS,BP,1,IN,4.4,100,NA,NA
Humphead Wrasse,Cheilinus undulatus,BLAST,Eupercaria,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4,229,32,0.0774
Copperband Butterflyfish,Chelmon rostratus,BLAST,Acanthuriformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.5,20,10,0.318
Whitespotted Bambooshark,Chiloscyllium plagiosum,BLAST,Orectolobiformes,Elasmobranchii,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4,83,25,0.106
Big Head Croaker,Collichthys lucidus,BLAST,Eupercaria,Actinopteri,0,1,Subtropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,3.6,19.8,NA,0.413
Roundnose Grenadier,Coryphaenoides rupestris,BLAST,Gadiformes,Actinopteri,0,0,Deep-water,Worldwide,0,1,0,0,,,1,OS,BP,0,TL,3.7,110,54,0.228
Channel Bull Blenny,Cottoperca gobio,BLAST,Perciformes,Actinopteri,0,1,Subtropical,South America,0,1,0,0,,,1,NS,BE,0,TL,4.3,80,NA,0.399
Tongue Sole,Cynoglossus semilaevis,BLAST,Pleuronectiformes,Actinopteri,0,1,Subtropical,Asia,0,1,0,0,,,1,NS,BE,0,TL,3.7,61.1,NA,NA
Sheepshead Minnow,Cyprinodon variegatus,BLAST,Cyprinodontiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,0,0,,,1,NS,BP,0,TL,2.4,9,NA,0.731
Antarctic Toothfish,Dissostichus mawsoni,BLAST,Perciformes,Actinopteri,0,0,Polar,Antarctica,0,1,0,0,,,1,NS,PE,0,TL,3.9,200,39,0.339
Live Sharksucker,Echeneis naucrates,BLAST,Carangiformes,Actinopteri,0,1,Subtropical,Worldwide,0,1,0,0,,,1,NS,BE,0,TL,3.7,110,NA,0.27
Giant Grouper,Epinephelus lanceolatus,BLAST,Perciformes,Actinopteri,1,1,Tropical,Indo-Pacific,0,1,0,0,,,1,NS,BE,0,TL,4,270,NA,0.2
Reedfish,Erpetoichthys calabaricus,BLAST,Polypteriformes,Cladistii,1,1,Tropical,Africa,0,1,0,0,,,0,NS,BE,0,TL,3.3,37,NA,NA
